T,n
1.21286,1.44047e+19
1.21153,1.45499e+19
1.21021,1.46962e+19
1.2089,1.48437e+19
1.20758,1.49924e+19
1.20627,1.51422e+19
1.20496,1.52932e+19
1.20366,1.54454e+19
1.20236,1.55989e+19
1.20106,1.57535e+19
1.19976,1.59093e+19
1.19847,1.60664e+19
1.19717,1.62247e+19
1.19589,1.63842e+19
1.1946,1.65449e+19
1.19332,1.67069e+19
1.19204,1.68702e+19
1.19076,1.70347e+19
1.18948,1.72005e+19
1.18821,1.73675e+19
1.18694,1.75359e+19
1.18568,1.77055e+19
1.18441,1.78764e+19
1.18315,1.80486e+19
1.18189,1.82221e+19
1.18064,1.8397e+19
1.17938,1.85731e+19
1.17813,1.87506e+19
1.17689,1.89294e+19
1.17564,1.91096e+19
1.1744,1.92911e+19
1.17316,1.9474e+19
1.17192,1.96583e+19
1.17069,1.98439e+19
1.16945,2.00309e+19
1.16822,2.02192e+19
1.167,2.0409e+19
1.16577,2.06002e+19
1.16455,2.07927e+19
1.16333,2.09867e+19
1.16212,2.11821e+19
1.1609,2.1379e+19
1.15969,2.15773e+19
1.15848,2.1777e+19
1.15727,2.19782e+19
1.15607,2.21808e+19
1.15487,2.23849e+19
1.15367,2.25904e+19
1.15247,2.27975e+19
1.15128,2.3006e+19
1.15009,2.32161e+19
1.1489,2.34276e+19
1.14771,2.36406e+19
1.14653,2.38552e+19
1.14534,2.40713e+19
1.14416,2.42889e+19
1.14299,2.4508e+19
1.14181,2.47287e+19
1.14064,2.4951e+19
1.13947,2.51748e+19
1.1383,2.54002e+19
1.13714,2.56272e+19
1.13598,2.58557e+19
1.13482,2.60858e+19
1.13366,2.63176e+19
1.1325,2.65509e+19
1.13135,2.67859e+19
1.1302,2.70225e+19
1.12905,2.72607e+19
1.1279,2.75006e+19
1.12676,2.77421e+19
1.12562,2.79852e+19
1.12448,2.823e+19
1.12334,2.84765e+19
1.12221,2.87247e+19
1.12108,2.89745e+19
1.11995,2.92261e+19
1.11882,2.94793e+19
1.11769,2.97343e+19
1.11657,2.99909e+19
1.11545,3.02493e+19
1.11433,3.05095e+19
1.11321,3.07713e+19
1.1121,3.10349e+19
1.11099,3.13003e+19
1.10988,3.15674e+19
1.10877,3.18363e+19
1.10767,3.2107e+19
1.10656,3.23795e+19
1.10546,3.26537e+19
1.10436,3.29298e+19
1.10327,3.32077e+19
1.10217,3.34874e+19
1.10108,3.37689e+19
1.09999,3.40523e+19
1.0989,3.43375e+19
1.09782,3.46245e+19
1.09673,3.49134e+19
1.09565,3.52042e+19
1.09457,3.54969e+19
1.09349,3.57914e+19
1.09242,3.60879e+19
1.09135,3.63862e+19
1.09027,3.66865e+19
1.08921,3.69886e+19
1.08814,3.72927e+19
1.08707,3.75987e+19
1.08601,3.79067e+19
1.08495,3.82166e+19
1.08389,3.85285e+19
1.08284,3.88423e+19
1.08178,3.91582e+19
1.08073,3.9476e+19
1.07968,3.97957e+19
1.07863,4.01175e+19
1.07759,4.04413e+19
1.07654,4.07672e+19
1.0755,4.1095e+19
1.07446,4.14249e+19
1.07342,4.17568e+19
1.07239,4.20908e+19
1.07135,4.24268e+19
1.07032,4.27649e+19
1.06929,4.3105e+19
1.06826,4.34473e+19
1.06724,4.37916e+19
1.06621,4.41381e+19
1.06519,4.44866e+19
1.06417,4.48373e+19
1.06315,4.51901e+19
1.06213,4.55451e+19
1.06112,4.59021e+19
1.06011,4.62614e+19
1.0591,4.66228e+19
1.05809,4.69863e+19
1.05708,4.73521e+19
1.05608,4.772e+19
1.05507,4.80901e+19
1.05407,4.84625e+19
1.05307,4.8837e+19
1.05208,4.92138e+19
1.05108,4.95927e+19
1.05009,4.9974e+19
1.0491,5.03575e+19
1.04811,5.07432e+19
1.04712,5.11312e+19
1.04613,5.15215e+19
1.04515,5.1914e+19
1.04417,5.23089e+19
1.04319,5.2706e+19
1.04221,5.31054e+19
1.04123,5.35072e+19
1.04026,5.39113e+19
1.03928,5.43177e+19
1.03831,5.47265e+19
1.03734,5.51376e+19
1.03638,5.55511e+19
1.03541,5.5967e+19
1.03445,5.63852e+19
1.03348,5.68059e+19
1.03252,5.72289e+19
1.03157,5.76543e+19
1.03061,5.80821e+19
1.02965,5.85124e+19
1.0287,5.89451e+19
1.02775,5.93803e+19
1.0268,5.98178e+19
1.02585,6.02579e+19
1.02491,6.07004e+19
1.02396,6.11454e+19
1.02302,6.15929e+19
1.02208,6.20429e+19
1.02114,6.24953e+19
1.0202,6.29503e+19
1.01926,6.34078e+19
1.01833,6.38679e+19
1.0174,6.43305e+19
1.01647,6.47956e+19
1.01554,6.52633e+19
1.01461,6.57336e+19
1.01368,6.62064e+19
1.01276,6.66818e+19
1.01184,6.71598e+19
1.01092,6.76405e+19
1.01,6.81237e+19
1.00908,6.86095e+19
1.00817,6.9098e+19
1.00725,6.95891e+19
1.00634,7.00829e+19
1.00543,7.05794e+19
1.00452,7.10785e+19
1.00361,7.15802e+19
1.00271,7.20847e+19
1.0018,7.25918e+19
1.0009,7.31017e+19
1,7.36143e+19
0.999101,7.41296e+19
0.998203,7.46476e+19
0.997307,7.51684e+19
0.996413,7.56919e+19
0.99552,7.62182e+19
0.994629,7.67472e+19
0.993739,7.72791e+19
0.992851,7.78137e+19
0.991965,7.83511e+19
0.99108,7.88913e+19
0.990197,7.94343e+19
0.989315,7.99802e+19
0.988435,8.05289e+19
0.987557,8.10804e+19
0.98668,8.16348e+19
0.985804,8.2192e+19
0.984931,8.27521e+19
0.984058,8.33151e+19
0.983187,8.3881e+19
0.982318,8.44498e+19
0.981451,8.50215e+19
0.980584,8.55961e+19
0.97972,8.61737e+19
0.978857,8.67541e+19
0.977995,8.73375e+19
0.977135,8.79239e+19
0.976276,8.85133e+19
0.975419,8.91056e+19
0.974564,8.97009e+19
0.97371,9.02992e+19
0.972857,9.09004e+19
0.972006,9.15047e+19
0.971157,9.21121e+19
0.970309,9.27224e+19
0.969462,9.33358e+19
0.968617,9.39523e+19
0.967773,9.45718e+19
0.966931,9.51943e+19
0.96609,9.582e+19
0.965251,9.64487e+19
0.964413,9.70805e+19
0.963577,9.77155e+19
0.962742,9.83535e+19
0.961908,9.89947e+19
0.961076,9.9639e+19
0.960246,1.00286e+20
0.959417,1.00937e+20
0.958589,1.01591e+20
0.957763,1.02248e+20
0.956938,1.02908e+20
0.956114,1.03571e+20
0.955292,1.04238e+20
0.954472,1.04907e+20
0.953652,1.0558e+20
0.952835,1.06257e+20
0.952018,1.06936e+20
0.951203,1.07619e+20
0.95039,1.08305e+20
0.949577,1.08994e+20
0.948767,1.09686e+20
0.947957,1.10382e+20
0.947149,1.11081e+20
0.946342,1.11783e+20
0.945537,1.12489e+20
0.944733,1.13198e+20
0.943931,1.1391e+20
0.943129,1.14626e+20
0.942329,1.15345e+20
0.941531,1.16068e+20
0.940734,1.16793e+20
0.939938,1.17523e+20
0.939144,1.18255e+20
0.93835,1.18991e+20
0.937559,1.1973e+20
0.936768,1.20473e+20
0.935979,1.21219e+20
0.935191,1.21969e+20
0.934405,1.22722e+20
0.93362,1.23479e+20
0.932836,1.24239e+20
0.932053,1.25002e+20
0.931272,1.25769e+20
0.930492,1.2654e+20
0.929714,1.27314e+20
0.928936,1.28091e+20
0.92816,1.28872e+20
0.927386,1.29657e+20
0.926612,1.30445e+20
0.92584,1.31237e+20
0.925069,1.32032e+20
0.9243,1.32831e+20
0.923532,1.33633e+20
0.922765,1.34439e+20
0.921999,1.35249e+20
0.921234,1.36062e+20
